,student_id,audio_mean,audio_sum,rows,
0,u00,32594.40625,2127455,2549558,
1,u01,34068.91803,2105711,2608482,
2,u02,23547.22727,1599368,2444394,
3,u03,4954,262784,1311046,
4,u04,40839.98246,2348953,2456731,
5,u05,22181.7619,1399325,2133762,
6,u07,22369.97959,1104898,1703556,
7,u08,28218.89231,1834262,2592612,
8,u09,29299.12121,1936079,2692898,
9,u10,22421.30303,1482650,2353795,
10,u12,22429.95455,1500465,2450754,
11,u13,15432.36667,941879,1847551,
12,u14,36573.20635,2315291,2527123,
13,u15,19548.91304,899276,1284340,
14,u16,17368.39683,1114800,2139457,
15,u17,16642.87879,1112435,2108799,
16,u18,15938.32759,927440,1849457,
17,u19,17958.13636,1210916,2285901,
18,u20,13331.22917,642616,1333354,
19,u22,15827.2459,991171,1685618,
20,u23,16162.21053,926295,1762462,
21,u24,29931.58065,927879,1297697,
22,u25,23918.71739,1114813,1427765,
23,u27,18605.66154,1226779,2182966,
24,u30,41295.09524,2640372,2862099,
25,u31,23082.4375,1484826,2405307,
26,u32,31195.53226,1934123,2504145,
27,u33,25398.81132,1354516,1911751,
28,u34,18593.61702,902153,1362585,
29,u35,14116.06061,944110,2034613,
30,u36,15877.56061,1064846,2053949,
31,u39,4097.73913,97241,528230,less !!!
32,u41,18522.17308,970002,1582626,
33,u42,13907.92157,729713,1523732,
34,u43,21056.08621,1228713,1917114,
35,u44,11951.46667,721407,1773907,
36,u45,19159.29167,940715,1440611,
37,u46,37110.01852,2004975,2369139,
38,u47,12415.37255,639996,1164124,
39,u49,24149.66154,1612541,2606739,
40,u50,8434.948718,347792,1092076,
41,u51,17752.45455,1187349,2155124,
42,u52,10644.50769,695190,1712028,
43,u53,17160.03077,1115946,2114807,
44,u54,21008.36957,968239,1698497,
45,u56,19683.05263,1154149,1812875,
46,u57,35374.40909,2350702,2642731,
47,u58,24547.47619,1593084,2315206,
48,u59,60790.81818,4099952,4684130,more !!!
