uid,positive,negative
u00,31.5,28.5
u01,28.5,18.0
u02,25.5,14.0
u03,27.5,23.5
u04,30.5,16.5
u05,32.5,22.0
u07,23.0,19.0
u08,30,26
u09,30.0,11.5
u10,38.0,24.0
u12,42,18
u13,13,21
u14,38.0,27.5
u15,31.5,25.0
u16,17.5,26.5
u17,29.0,27.0
u18,16.5,31.5
u19,32.5,18.5
u20,27.0,19.5
u22,26,15
u23,28.5,25.0
u24,24.0,16.5
u27,21.0,20.5
u30,34.0,27.0
u31,25.5,27.0
u32,35.0,14.5
u33,22.5,31.0
u34,26.0,12.0
u35,23.5,13.5
u36,32.0,15.0
u39,20,10
u42,30.0,25.0
u43,31.5,19.5
u44,30.0,16.5
u45,27.0,20.5
u46,32.5,26.5
u47,34.5,21.0
u49,36.0,17.0
u50,25,13
u51,25.0,13.0
u52,33.0,37.0
u53,30.5,17.0
u54,21,26
u56,25.5,12.0
u57,35,12
u58,28,15
u59,35.5,25.0
