,uid,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num
0,u00,1669500,303665505.7651169,7350.618852459016,61
1,u01,2065890,491815876.6371191,9569.412280701754,57
2,u02,968785,200169522.5097222,4545.0625,60
3,u03,887594,607654866.3506209,6505.648648648648,37
4,u04,2544245,474243738.8727273,12072.8,55
5,u05,1597070,670085721.6354573,8041.584905660377,53
6,u07,1656432,663893615.3760331,9919.607954545454,44
7,u08,1687475,191630477.7404888,7204.702380952381,63
8,u09,2163623,453462485.83638895,9523.583333333334,60
9,u10,2352780,450166504.1790634,9420.583333333334,66
10,u12,2645089,208737379.6402663,10527.814393939394,66
11,u13,1411628,448343935.22314566,6699.8026315789475,57
12,u14,1828326,469502089.6405325,9298.197115384615,52
13,u15,432208,329486442.2085048,4509.981481481482,27
14,u16,1984348,346819862.5598387,8382.769841269841,63
15,u17,2108426,428258162.0478667,9010.237903225807,62
16,u18,1319364,534934017.1041667,7380.208333333333,48
17,u19,2197483,270497073.78366864,8960.346153846154,65
18,u20,747977,340215096.0788897,5562.040540540541,37
19,u22,1847495,555745106.4033887,8471.745689655172,58
20,u23,1727271,104026371.78794643,8219.09375,56
21,u24,1029614,402890790.7538644,9384.181034482759,29
22,u25,752174,466318514.31037635,6206.628787878788,33
23,u27,954839,197546033.22868574,4696.271929824561,57
24,u30,2347568,557836314.7312722,10627.331896551725,58
25,u31,1100207,168598863.88551465,5017.463114754099,61
26,u32,2160723,537975202.0966111,9822.047413793103,58
27,u33,1218401,266644680.16678995,6365.639423076923,52
28,u34,246117,335726999.3904958,3304.5113636363635,22
29,u35,683013,444401260.8622222,4302.672222222222,45
30,u36,2660137,224136140.1197633,10739.8,65
31,u39,39630,75623539.95918368,1923.25,7
32,u41,528676,392303855.13265306,5228.758928571428,28
33,u42,657398,396657083.4709141,4832.5526315789475,38
34,u43,1357753,473485828.99683106,7730.148936170212,47
35,u44,1869992,342038104.74247926,9008.172727272728,55
36,u45,1407714,331429249.5152355,9769.355263157895,38
37,u46,1012276,339310009.52959996,5569.19,50
38,u47,577775,421825069.338889,5323.841666666666,30
39,u49,1656112,353058668.9671006,6878.084615384615,65
40,u50,803572,628978915.546875,6786.2421875,32
41,u51,3062076,433298348.7654438,12285.788461538461,65
42,u52,2383412,446902239.2340639,9966.404761904761,63
43,u53,2034200,506242892.2888888,8984.204166666666,60
44,u54,1096195,209593877.819161,7032.982142857143,42
45,u56,966596,446777420.1657644,5440.147959183673,49
46,u57,1939520,193315064.16161618,7855.204545454545,66
47,u58,2276090,465746740.24141526,9686.197580645161,62
48,u59,873895,233904007.18873885,4211.4449152542375,59
