,student_id,in_ratio,rows
0,u00,0.9824659612215119,11221
1,u01,0.7971472555982625,20149
2,u02,0.9727305987450383,27947
3,u03,0.9973906158517153,15251
4,u04,0.9516329385822145,30811
5,u05,0.982341214882965,23058
6,u07,0.9752746053230706,57202
7,u08,0.9786152195200625,40857
8,u09,0.9740277592902243,40184
9,u10,0.9880926146800406,36677
10,u12,0.9911331090828838,12546
11,u13,0.9945178333060947,50474
12,u14,0.9560199169932512,29934
13,u15,0.9836879308880816,9791
14,u16,0.9811793297832301,23568
15,u17,0.9827395227717005,44271
16,u18,0.987864478814497,25277
17,u19,0.9792358392478395,52553
18,u20,0.9894168255261417,21153
19,u22,0.9886209872920827,59471
20,u23,0.9939919235491298,13624
21,u24,0.9805378452570024,13710
22,u25,0.8629941666802073,11195
23,u27,0.9864781799228461,23377
24,u30,0.9403890459035998,66920
25,u31,0.9917846318883135,15807
26,u32,0.9250868559301662,84148
27,u33,0.9720303651350023,27465
28,u34,0.8295183207910641,7843
29,u35,0.9917672576867479,13314
30,u36,0.9941335074447681,46055
31,u39,0.9985861530164513,3496
32,u41,0.9845727880545458,45302
33,u42,0.9884632979867386,14813
34,u43,0.7278129485815504,11643
35,u44,0.9839156691685174,10440
36,u45,0.9444119012187249,19761
37,u46,0.9559855081031323,43946
38,u47,0.9849120709854451,7110
39,u49,0.9803590303321494,77786
40,u50,0.9966174119024125,28895
41,u51,0.9919317828322568,24949
42,u52,0.9729676121443745,368674
43,u53,0.9961012270574559,39129
44,u54,0.9814729596881434,14317
45,u56,0.9904353913893759,9645
46,u57,0.9701808759439714,104615
47,u58,0.9941481847515455,29733
48,u59,0.9804548098374951,83731
