uid,pre_score,post_socre,Flourishing_score
u00,48.0,45.0,46.5
u01,45.0,46.0,45.5
u02,46.0,44.0,45.0
u03,34.0,31.0,32.5
u04,27.0,33.0,30.0
u05,48.0,50.0,49.0
u07,49.0,47.0,48.0
u08,39.0,0,39.0
u09,46.0,47.0,46.5
u10,39.0,39.0,39.0
u12,49.0,0,49.0
u13,44.0,0,44.0
u14,52.0,53.0,52.5
u15,43.0,48.0,45.5
u16,42.0,41.0,41.5
u17,37.0,38.0,37.5
u18,37.0,0,37.0
u19,42.0,42.0,42.0
u20,45.0,45.0,45.0
u22,46.0,0,46.0
u23,35.0,42.0,38.5
u24,41.0,43.0,42.0
u27,31.0,31.0,31.0
u30,52.0,56.0,54.0
u31,16.0,36.0,26.0
u32,54.0,56.0,55.0
u33,31.0,28.0,29.5
u34,49.0,23.0,36.0
u35,48.0,44.0,46.0
u36,46.0,46.0,46.0
u39,15.0,0,15.0
u42,45.0,16.0,30.5
u43,47.0,42.0,44.5
u44,48.0,41.0,44.5
u45,48.0,49.0,48.5
u46,42.0,44.0,43.0
u47,51.0,52.0,51.5
u49,51.0,55.0,53.0
u50,48.0,0,48.0
u51,40.0,48.0,44.0
u52,34.0,37.0,35.5
u53,50.0,49.0,49.5
u56,46.0,48.0,47.0
u57,50.0,0,50.0
u58,51.0,0,51.0
u59,43.0,50.0,46.5
