uid,pre_positive,post_positive,positive,pre_negative,post_negative,negative
u00,32,31,31.5,33,24,28.5
u01,30,27,28.5,19,17,18.0
u02,23,28,25.5,15,13,14.0
u03,30,25,27.5,27,20,23.5
u04,27,34,30.5,14,19,16.5
u05,32,33,32.5,27,17,22.0
u07,30,16,23.0,21,17,19.0
u08,30,0,30,26,0,26
u09,28,32,30.0,11,12,11.5
u10,33,43,38.0,20,28,24.0
u12,42,0,42,18,0,18
u13,13,0,13,21,0,21
u14,40,36,38.0,43,12,27.5
u15,30,33,31.5,25,25,25.0
u16,18,17,17.5,20,33,26.5
u17,31,27,29.0,17,37,27.0
u18,16,17,16.5,28,35,31.5
u19,31,34,32.5,22,15,18.5
u20,29,25,27.0,13,26,19.5
u22,26,0,26,15,0,15
u23,29,28,28.5,26,24,25.0
u24,26,22,24.0,15,18,16.5
u27,23,19,21.0,18,23,20.5
u30,34,34,34.0,33,21,27.0
u31,31,20,25.5,17,37,27.0
u32,29,41,35.0,14,15,14.5
u33,19,26,22.5,34,28,31.0
u34,28,24,26.0,10,14,12.0
u35,27,20,23.5,12,15,13.5
u36,32,32,32.0,11,19,15.0
u39,20,0,20,10,0,10
u42,24,36,30.0,29,21,25.0
u43,31,32,31.5,18,21,19.5
u44,32,28,30.0,11,22,16.5
u45,27,27,27.0,23,18,20.5
u46,34,31,32.5,19,34,26.5
u47,34,35,34.5,31,11,21.0
u49,35,37,36.0,18,16,17.0
u50,25,0,25,13,0,13
u51,24,26,25.0,14,12,13.0
u52,40,26,33.0,35,39,37.0
u53,28,33,30.5,17,17,17.0
u54,0,21,21,0,26,26
u56,22,29,25.5,9,15,12.0
u57,35,0,35,12,0,12
u58,28,0,28,15,0,15
u59,34,37,35.5,21,29,25.0
