uid,pre_positive,post_positive,positive,pre_negative,post_negative,negative
u00,32,31,31.5,33,24,28.5
u01,30,27,28.5,19,17,18
u02,23,28,25.5,15,13,14
u03,30,25,27.5,27,20,23.5
u04,27,34,30.5,14,19,16.5
u05,32,33,32.5,27,17,22
u07,30,16,23,21,17,19
u09,28,32,30,11,12,11.5
u10,33,43,38,20,28,24
u14,40,36,38,43,12,27.5
u15,30,33,31.5,25,25,25
u16,18,17,17.5,20,33,26.5
u17,31,27,29,17,37,27
u18,16,17,16.5,28,35,31.5
u19,31,34,32.5,22,15,18.5
u20,29,25,27,13,26,19.5
u23,29,28,28.5,26,24,25
u24,26,22,24,15,18,16.5
u27,23,19,21,18,23,20.5
u30,34,34,34,33,21,27
u31,31,20,25.5,17,37,27
u32,29,41,35,14,15,14.5
u33,19,26,22.5,34,28,31
u34,28,24,26,10,14,12
u35,27,20,23.5,12,15,13.5
u36,32,32,32,11,19,15
u42,24,36,30,29,21,25
u43,31,32,31.5,18,21,19.5
u44,32,28,30,11,22,16.5
u45,27,27,27,23,18,20.5
u46,34,31,32.5,19,34,26.5
u47,34,35,34.5,31,11,21
u49,35,37,36,18,16,17
u51,24,26,25,14,12,13
u52,40,26,33,35,39,37
u53,28,33,30.5,17,17,17
u56,22,29,25.5,9,15,12
u59,34,37,35.5,21,29,25
